Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,,Verbatim,STORE N GO 16GB,567,5.38,203,https://usb.userbenchmark.com/SpeedTest/2096/Verbatim-STORE-N-GO
USB,,hp,v165w 4GB,568,5.35,270,https://usb.userbenchmark.com/SpeedTest/5911/hp-v165w
USB,,USB,FLASH DRIVE 2GB,569,5.34,185,https://usb.userbenchmark.com/SpeedTest/1966/USB-FLASH-DRIVE
USB,,Kingston,DataTraveler 108 8GB,570,5.33,93,https://usb.userbenchmark.com/SpeedTest/2102/Kingston-DataTraveler-108
USB,,Kingston,DT101 II 8GB,571,5.33,62,https://usb.userbenchmark.com/SpeedTest/3930/Kingston-DT101-II
USB,,HP,v125w 2GB,572,5.29,74,https://usb.userbenchmark.com/SpeedTest/5918/HP-v125w
USB,,JetFlash,Transcend 2GB,573,5.29,371,https://usb.userbenchmark.com/SpeedTest/11512/JetFlash-Transcend-2GB
USB,,UFD,2.0 Silicon-Power16G 16GB,574,5.28,693,https://usb.userbenchmark.com/SpeedTest/5289/UFD-20-Silicon-Power16G
USB,,Kingston,DataTraveler G2 8GB,575,5.26,342,https://usb.userbenchmark.com/SpeedTest/2097/Kingston-DataTraveler-G2
USB,,PNY,USB 2.0 FD 4GB,576,5.26,52,https://usb.userbenchmark.com/SpeedTest/10550/PNY-USB-20-FD
USB,,PNY,USB 2.0 FD 8GB,577,5.26,15,https://usb.userbenchmark.com/SpeedTest/4598/PNY-USB-20-FD
USB,,Kingston,DT 100 G2 4GB,578,5.26,295,https://usb.userbenchmark.com/SpeedTest/5494/Kingston-DT-100-G2
USB,,Corsair,Flash Voyager 1GB,579,5.23,13,https://usb.userbenchmark.com/SpeedTest/4389/Corsair-Flash-Voyager
USB,,Verbatim,STORE N GO 64GB,580,5.22,621,https://usb.userbenchmark.com/SpeedTest/7591/Verbatim-STORE-N-GO
USB,,Flash,Drive AU_USB20 2GB,581,5.22,44,https://usb.userbenchmark.com/SpeedTest/3746/Flash-Drive-AU-USB20
USB,,Kingston,DT 101 II 4GB,582,5.21,441,https://usb.userbenchmark.com/SpeedTest/5919/Kingston-DT-101-II
USB,,hp,v220w 8GB,583,5.21,330,https://usb.userbenchmark.com/SpeedTest/1543/hp-v220w
USB,,Kingston,DT 100 G2 8GB,584,5.2,950,https://usb.userbenchmark.com/SpeedTest/1420/Kingston-DT-100-G2
USB,,JetFlash,Transcend 4GB,585,5.19,1823,https://usb.userbenchmark.com/SpeedTest/1401/JetFlash-Transcend-4GB
USB,,hp,v250w 8GB,586,5.18,87,https://usb.userbenchmark.com/SpeedTest/3253/hp-v250w
USB,DT101G2/8GB,Kingston,DataTraveler 101 G2 USB 2.0 8GB,587,5.16,1384,https://usb.userbenchmark.com/SpeedTest/1682/Kingston-DT-101-G2
USB,DT101G2/4GB,Kingston,DataTraveler 101 G2 USB 2.0 4GB,588,5.08,933,https://usb.userbenchmark.com/SpeedTest/1352/Kingston-DT-101-G2
USB,,TOSHIBA,TransMemory 4GB,589,5.08,624,https://usb.userbenchmark.com/SpeedTest/3442/TOSHIBA-TransMemory
USB,,Lexar,JumpDrive 8GB,590,5.07,28,https://usb.userbenchmark.com/SpeedTest/3038/Lexar-JumpDrive
USB,,Flash,Drive SM_USB20 1GB,591,5.07,47,https://usb.userbenchmark.com/SpeedTest/6766/Flash-Drive-SM-USB20
USB,,Kingston,DT 100 G2 4GB,592,5.03,178,https://usb.userbenchmark.com/SpeedTest/7178/Kingston-DT-100-G2
USB,,JetFlash,Transcend 1GB,593,5.03,47,https://usb.userbenchmark.com/SpeedTest/8690/JetFlash-Transcend-1GB
USB,,Kingston,DT 101 G2 4GB,594,5.02,648,https://usb.userbenchmark.com/SpeedTest/3101/Kingston-DT-101-G2
USB,,takeMS,colorline 16GB,595,4.99,13,https://usb.userbenchmark.com/SpeedTest/4827/takeMS-colorline
USB,,Lexar,JD FireFly 8GB,596,4.97,109,https://usb.userbenchmark.com/SpeedTest/9434/Lexar-JD-FireFly
USB,,Kingmax,USB2.0 FlashDisk 4GB,597,4.96,16,https://usb.userbenchmark.com/SpeedTest/12171/Kingmax-USB20-FlashDisk
USB,,Kingston,DataTraveler G2 4GB,598,4.93,319,https://usb.userbenchmark.com/SpeedTest/1799/Kingston-DataTraveler-G2
USB,,UFD,USB Flash Drive 1GB,599,4.92,14,https://usb.userbenchmark.com/SpeedTest/1755/UFD-USB-Flash-Drive
USB,,HTC42602,0G7AT00 20GB,600,4.9,4,https://usb.userbenchmark.com/SpeedTest/10847/HTC42602-0G7AT00
