Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,,Intel,HD 2500 (Desktop 1.05 GHz),478,1.97,57709,https://gpu.userbenchmark.com/SpeedTest/7696/IntelR-HD-Graphics
GPU,,AMD,Radeon HD 6450,479,1.97,15372,https://gpu.userbenchmark.com/SpeedTest/7821/AMD-Radeon-HD-6450
GPU,,AMD,Radeon HD 7450,480,1.96,4194,https://gpu.userbenchmark.com/SpeedTest/8053/AMD-RadeonTM-HD-7450
GPU,,ATI,Radeon HD 2600-PRO,481,1.8,1000,https://gpu.userbenchmark.com/SpeedTest/8524/ATI-Radeon-HD-2600-PRO
GPU,,ATI,Mobility Radeon HD 3650,482,1.8,1713,https://gpu.userbenchmark.com/SpeedTest/7902/ATI-Mobility-Radeon-HD-3650
GPU,,Intel,HD Graphics (G3 Pentium/Celeron 1.0/1.1 GHz),483,1.8,13884,https://gpu.userbenchmark.com/SpeedTest/7695/IntelR-HD-Graphics
GPU,,Nvidia,NVS 310,484,1.79,1894,https://gpu.userbenchmark.com/SpeedTest/10691/NVIDIA-NVS-310
GPU,,Nvidia,GeForce 410M,485,1.77,2073,https://gpu.userbenchmark.com/SpeedTest/9169/NVIDIA-GeForce-410M
GPU,,Nvidia,GeForce GT 320M,486,1.73,1211,https://gpu.userbenchmark.com/SpeedTest/7796/NVIDIA-GeForce-GT-320M
GPU,,Nvidia,Quadro FX 1700,487,1.67,1526,https://gpu.userbenchmark.com/SpeedTest/9158/NVIDIA-Quadro-FX-1700
GPU,,AMD,HD 8240,488,1.67,2046,https://gpu.userbenchmark.com/SpeedTest/9779/AMD-Radeon-HD-8240
GPU,,Nvidia,GeForce 8600M GT,489,1.58,1351,https://gpu.userbenchmark.com/SpeedTest/8081/NVIDIA-GeForce-8600M-GT
GPU,,ATI,Mobility Radeon HD 545v,490,1.58,492,https://gpu.userbenchmark.com/SpeedTest/8734/ATI-Mobility-Radeon-HD-545v
GPU,,ATI,Mobility Radeon HD 2600,491,1.58,605,https://gpu.userbenchmark.com/SpeedTest/10285/ATI-Mobility-Radeon-HD-2600
GPU,,Nvidia,GeForce GT 415M,492,1.57,39,https://gpu.userbenchmark.com/SpeedTest/16834/NVIDIA-GeForce-GT-415M
GPU,,AMD,Radeon HD 6370M,493,1.56,515,https://gpu.userbenchmark.com/SpeedTest/10005/AMD-Radeon-HD-6370M
GPU,,Nvidia,GeForce 310M,494,1.56,3630,https://gpu.userbenchmark.com/SpeedTest/8049/NVIDIA-GeForce-310M
